Clt;Joueur;Nation;Pos;Équipe;Âge;Salaires hebdomadaires;Salaires annuels
221;Erik Palmer-Brown;us USA;DF;Troyes;25;12692;660000
222;Jackson Porozo;ec ECU;DF;Troyes;21;12692;660000
223;Lucien Agoume;fr FRA;MF;Troyes;20;12692;660000
224;Rominigue Kouamé;ml MLI;MF;Troyes;25;12692;660000
225;Tristan Dingomé;cm CMR;MF;Troyes;31;12692;660000
226;Yoann Salmier;gf GUF;DF;Troyes;29;12692;660000
227;Issa Kaboré;bf BFA;DF;Marseille;21;12692;660000
228;Colin Dagba;fr FRA;DFMF;Strasbourg;23;12692;660000
229;Jérémie Bela;ao ANG;DFMF;Clermont Foot;29;12692;660000
230;Christophe Hérelle;mq MTQ;DF;Brest;29;12692;660000
231;Ismail Jakobs;sn SEN;DFFW;Monaco;22;12500;650000
232;Boubakar Kouyaté;ml MLI;DF;Montpellier;25;12308;640000
233;Cédric Hountondji;bj BEN;DF;Angers;28;12115;630000
234;Moussa Djitte;sn SEN;FW;Ajaccio;22;11731;610000
235;Dimitri Liénard;fr FRA;DFMF;Strasbourg;34;11731;610000
236;Habib Diallo;sn SEN;FW;Strasbourg;27;11731;610000
237;Sinaly Diomande;ci CIV;DF;Lyon;21;11731;610000
238;Mattia Viti;it ITA;DF;Nice;20;11538;600000
239;Ado Onaiwu;jp JPN;FW;Toulouse;26;11538;600000
240;Gabriel Suazo;;LB;Toulouse;25;11538;600000
241;Mikkel Desler;dk DEN;DF;Toulouse;27;11538;600000
242;Ibrahima Niane;sn SEN;FW;Angers;23;11538;600000
243;Thomas Mangani;fr FRA;MF;Ajaccio;35;11538;600000
244;Emmanuel Agbadou;ci CIV;DF;Reims;25;11538;600000
245;Yehvann Diouf;fr FRA;GK;Reims;22;11538;600000
246;Franck Honorat;fr FRA;FWMF;Brest;25;11538;600000
247;Alexandre Letellier;fr FRA;GK;Paris S-G;31;11538;600000
248;Kamaldeen Sulemana;gh GHA;FWMF;Rennes;20;11346;590000
249;Joe Rodon;wls WAL;DF;Rennes;24;11154;580000
250;Benoît Badiashile;fr FRA;DF;Monaco;21;11154;580000
251;Ibrahim Amadou;fr FRA;DFMF;Angers;29;10962;570000
252;Montassar Talbi;tn TUN;DF;Lorient;24;10962;570000
253;Pedro Mendes;pt POR;DF;Montpellier;31;10577;550000
254;Rasmus Nicolaisen;dk DEN;DF;Toulouse;25;10577;550000
255;Batista Mendy;fr FRA;MFDF;Angers;22;10577;550000
256;Alfred Gomis;sn SEN;GK;Rennes;29;10577;550000
257;Quentin Boisgard;fr FRA;MF;Lorient;25;10577;550000
258;Veljko Birmancevic;;LW;Toulouse;24;10385;540000
259;Pierrick Capelle;fr FRA;MFDF;Angers;35;10385;540000
260;Gedeon Kalulu;cd COD;DF;Lorient;24;10385;540000
261;Charles Traore;ml MLI;DF;Nantes;30;10385;540000
262;Jean-Charles Castelletto;cm CMR;DF;Nantes;27;10385;540000
263;Johan Gastien;fr FRA;MF;Clermont Foot;34;10385;540000
264;Brendan Chardonnet;fr FRA;DF;Brest;27;10385;540000
265;Haris Belkebla;dz ALG;MF;Brest;28;10385;540000
266;Marco Bizot;nl NED;GK;Brest;31;10385;540000
267;Romain Del Castillo;fr FRA;MFFW;Brest;26;10385;540000
268;Maximiliano Caufriez;be BEL;DF;Clermont Foot;25;10192;530000
269;El Chadaille Bitshiabu;fr FRA;DF;Paris S-G;17;10192;530000
270;Donovan Léon;gf GUF;GK;Auxerre;29;10000;520000
271;Patrick Pentz;at AUT;GK;Reims;25;10000;520000
272;Thomas Delaine;fr FRA;DFMF;Strasbourg;30;10000;520000
273;Adrian Grbić;at AUT;MFFW;Lorient;25;9808;510000
274;Mathias Pereira Lage;pt POR;MFFW;Brest;25;9808;510000
275;Stephy Mavididi;eng ENG;FW;Montpellier;24;9615;500000
276;Rafael Ratão;br BRA;FWMF;Toulouse;26;9615;500000
277;Léo Jardim;br BRA;GK;Lille;27;9615;500000
278;Kevin Danso;at AUT;DF;Lens;23;9615;500000
279;Ludovic Ajorque;fr FRA;FW;Strasbourg;28;9423;490000
280;Saïd Hamulic;;CF;Toulouse;22;9231;480000
281;Youssouf M'Changama;km COM;MF;Auxerre;31;9231;480000
282;Ronaël Pierre-Gabriel;fr FRA;DF;Strasbourg;24;9231;480000
283;Marcus Coco;fr FRA;FWMF;Nantes;26;9231;480000
284;Achraf Dari;;CB;Brest;23;9231;480000
285;Jere Uronen;fi FIN;DF;Brest;28;9231;480000
286;Julien Le Cardinal;fr FRA;DF;Lens;24;9231;480000
287;Eliesse Ben Seghir;;CF;Monaco;17;9231;480000
288;Wuilker Faríñez;ve VEN;GK;Lens;24;9038;470000
289;Birama Touré;ml MLI;MF;Auxerre;30;8846;460000
290;Siriki Dembélé;ci CIV;MFFW;Auxerre;25;8846;460000
291;Mamadou Sakho;fr FRA;DF;Montpellier;32;8654;450000
292;Bamba Dieng;sn SEN;FWMF;Marseille;22;8654;450000
293;Gerzino Nyamsi;fr FRA;DF;Strasbourg;25;8654;450000
294;Neto Borges;br BRA;DF;Clermont Foot;25;8654;450000
295;Irvin Cardona;fr FRA;FWMF;Brest;24;8654;450000
296;Théo Pellenard;fr FRA;DF;Auxerre;28;8462;440000
297;Adrien Thomasson;fr FRA;MF;Strasbourg;28;8462;440000
298;Julien Laporte;fr FRA;DF;Lorient;28;8462;440000
299;Arnaud Souquet;fr FRA;DFFW;Montpellier;30;8269;430000
300;Wesley Saïd;fr FRA;FWMF;Lens;27;8269;430000
301;Gideon Mensah;gh GHA;DF;Auxerre;24;8077;420000
302;Rémy Riou;fr FRA;GK;Lyon;34;8077;420000
303;Florent Ogier;fr FRA;DF;Clermont Foot;33;8077;420000
304;Jean Onana;cm CMR;MFDF;Lens;22;8077;420000
305;Issiaga Sylla;gn GUI;DF;Montpellier;28;7692;400000
306;Elisha Owusu;gh GHA;DM;Auxerre;25;7692;400000
307;Ismaël Doukouré;fr FRA;DFMF;Strasbourg;19;7692;400000
308;Maxime Le Marchand;fr FRA;DF;Strasbourg;32;7692;400000
309;Gabriel Gudmundsson;se SWE;DFFW;Lille;23;7692;400000
310;Malo Gusto;fr FRA;DF;Lyon;19;7692;400000
311;Jodel Dossou;bj BEN;MFDF;Clermont Foot;30;7692;400000
312;Pablo Rosario;nl NED;MFDF;Nice;25;7500;390000
313;Julien Ponceau;fr FRA;MF;Lorient;21;7500;390000
314;Bradley Barcola;fr FRA;FWMF;Lyon;19;7500;390000
315;Kaj Sierhuis;nl NED;FWMF;Reims;24;7308;380000
316;Chrislain Matsima;fr FRA;DFMF;Lorient;20;7308;380000
317;Eiji Kawashima;jp JPN;GK;Strasbourg;39;7115;370000
318;Alexis Beka Beka;fr FRA;MFDF;Nice;21;6923;360000
319;Marcin Bułka;pl POL;GK;Nice;22;6923;360000
320;Bingourou Kamara;sn SEN;GK;Montpellier;25;6923;360000
321;Théo Sainte-Luce;fr FRA;DF;Montpellier;23;6923;360000
322;Vincent Sierro;ch SUI;MF;Toulouse;26;6923;360000
323;Gauthier Gallon;fr FRA;GK;Troyes;29;6923;360000
324;Dénys Bain;fr FRA;DF;Auxerre;29;6923;360000
325;Vincent Marchetti;fr FRA;MF;Ajaccio;25;6923;360000
326;Désiré Doué;;AM;Rennes;17;6923;360000
327;Bafodé Diakité;fr FRA;DF;Lille;21;6923;360000
328;Adil Aouchiche;fr FRA;MF;Lorient;20;6923;360000
329;Jérémy Le Douaron;fr FRA;MFFW;Brest;24;6923;360000
330;Ilyes Housni;;CF;Paris S-G;17;6923;360000
331;Gaëtan Charbonnier;fr FRA;FWMF;Auxerre;33;6731;350000
332;Cédric Avinel;gp GLP;DF;Ajaccio;35;6731;350000
333;Mitchell van Bergen;nl NED;FWDF;Reims;22;6731;350000
334;Sada Thioub;sn SEN;DFFW;Angers;27;6538;340000
335;Jean-Ricner Bellegarde;fr FRA;MFFW;Strasbourg;24;6538;340000
336;Deiver Machado;co COL;DFMF;Lens;28;6538;340000
337;Jean-Louis Leca;fr FRA;GK;Lens;36;6538;340000
338;Thomas Didillon;fr FRA;GK;Monaco;26;6538;340000
339;Abdoulaye Bamba;ci CIV;DF;Angers;32;6346;330000
340;Ibrahima Sissoko;ml MLI;MF;Strasbourg;24;6346;330000
341;Tiago Djaló;pt POR;DF;Lille;22;6346;330000
342;Mory Diaw;sn SEN;GK;Clermont Foot;29;6346;330000
343;Isak Pettersson;se SWE;GK;Toulouse;25;6154;320000
344;Han-Noah Massengo;fr FRA;MF;Auxerre;21;6154;320000
345;Mathias Autret;fr FRA;MFFW;Auxerre;31;6154;320000
346;Abdoul Kader Bamba;fr FRA;FWMF;Nantes;28;6154;320000
347;Timothee Pembele;fr FRA;DF;Paris S-G;19;6154;320000
348;Nicolas Cozza;fr FRA;DF;Montpellier;23;5962;310000
349;Gaëtan Perrin;fr FRA;MFFW;Auxerre;26;5962;310000
350;Steven Fortes;cv CPV;DF;Lens;30;5962;310000
351;Kjetil Haug;no NOR;GK;Toulouse;24;5769;300000
352;Zakaria Aboukhlal;ma MAR;FWMF;Toulouse;22;5769;300000
353;Mateusz Lis;pl POL;GK;Troyes;25;5769;300000
354;Gauthier Hein;fr FRA;MFFW;Auxerre;25;5769;300000
355;Nuno da Costa;cv CPV;FWMF;Auxerre;31;5769;300000
356;Fernand Mayembo;cg CGO;DF;Ajaccio;26;5769;300000
357;Robin Risser;;GK;Strasbourg;18;5769;300000
358;Ayman Kari;;CM;Lorient;18;5769;300000
359;Evann Guessand;fr FRA;FWMF;Nantes;21;5769;300000
360;Alidu Seidu;gh GHA;DF;Clermont Foot;22;5769;300000
361;Grejohn Kyei;fr FRA;FW;Clermont Foot;26;5769;300000
362;Komnen Andrić;rs SRB;FW;Clermont Foot;27;5769;300000
363;Mahdi Camara;fr FRA;MF;Brest;24;5769;300000
364;Hicham Boudaoui;dz ALG;MF;Nice;22;5577;290000
365;Logan Costa;cv CPV;DF;Toulouse;21;5577;290000
366;Yanis Begraoui;ma MAR;FWMF;Toulouse;21;5577;290000
367;Alexis Tibidi;fr FRA;FWMF;Troyes;18;5577;290000
368;Quentin Bernard;fr FRA;DF;Auxerre;33;5577;290000
369;Farid El Melali;dz ALG;DFFW;Angers;25;5577;290000
370;Benjamin Leroy;fr FRA;GK;Ajaccio;33;5577;290000
371;Przemysław Frankowski;pl POL;DFMF;Lens;27;5577;290000
372;Youssouf Fofana;fr FRA;MF;Monaco;23;5385;280000
373;Faitout Maouassa;fr FRA;FWDF;Montpellier;24;5192;270000
374;Andreas Bruus;;RB;Troyes;23;5192;270000
375;Papa Ndiaga Yade;sn SEN;DFMF;Troyes;22;5192;270000
376;Hamza Sakhi;fr FRA;MF;Auxerre;26;5192;270000
377;Julian Jeanvier;gn GUI;DF;Auxerre;30;5192;270000
378;Alan Virginius;fr FRA;FW;Lille;19;5192;270000
379;Bonke Innocent;ng NGA;MF;Lorient;26;5192;270000
380;Mateusz Wieteska;;CB;Clermont Foot;25;5192;270000
381;Muhammed Cham;at AUT;MF;Clermont Foot;21;5192;270000
382;Salis Abdul Samed;gh GHA;MF;Lens;22;5192;270000
383;Léo Leroy;fr FRA;MF;Montpellier;22;5000;260000
384;Maxime Dupé;fr FRA;GK;Toulouse;29;5000;260000
385;Thibault Tamas;fr FRA;DF;Montpellier;21;4808;250000
386;Marin Jakoliš;hr CRO;FW;Angers;25;4808;250000
387;Lorenz Assignon;tg TOG;DF;Rennes;22;4808;250000
388;Adam Jakubech;sk SVK;GK;Lille;25;4808;250000
389;Ibrahima Koné;ml MLI;FW;Lorient;23;4808;250000
390;Vincent Le Goff;fr FRA;DF;Lorient;32;4808;250000
391;Jaouen Hadjam;dz ALG;DF;Nantes;19;4808;250000
392;Warren Zaïre-Emery;;DM;Paris S-G;16;4808;250000
393;Mads Bech Sørensen;dk DEN;DF;Nice;23;4615;240000
394;Oliver Zandén;;LB;Toulouse;21;4615;240000
395;Theocharis Tsingaras;;CM;Toulouse;22;4615;240000
396;Warren Kamanzi;;RB;Toulouse;22;4615;240000
397;Souleymane Touré;fr FRA;DF;Marseille;19;4615;240000
398;Amine Salama;fr FRA;FWMF;Angers;22;4615;240000
399;Ilyes Chetti;;LB;Angers;27;4615;240000
400;Yahia Fofana;ci CIV;GK;Angers;21;4615;240000
401;Mickaël Alphonse;gp GLP;DF;Ajaccio;33;4615;240000
402;Moussa Soumano;;CF;Ajaccio;17;4615;240000
403;Christopher Wooh;cm CMR;DF;Rennes;20;4615;240000
404;Laurent Abergel;fr FRA;MF;Lorient;29;4615;240000
405;Vito Mannone;it ITA;GK;Lorient;34;4615;240000
406;Mehdi Zeffane;dz ALG;DFMF;Clermont Foot;30;4615;240000
407;Florian Sotoca;fr FRA;MFFW;Lens;31;4615;240000
408;Massadio Haïdara;ml MLI;DFMF;Lens;29;4615;240000
409;Rémy Labeau Lascary;;CF;Lens;20;4615;240000
410;Mathieu Coutadeur;fr FRA;MF;Ajaccio;36;4423;230000
411;Stéphane Diarra;fr FRA;FWMF;Lorient;23;4231;220000
412;Denis Petrić;rs SRB;GK;Nantes;34;4231;220000
413;Jean-Kevin Duverne;ht HAI;DF;Brest;25;4231;220000
414;Kevin Spadanuda;ch SUI;MFFW;Ajaccio;25;4038;210000
415;Darlin Yongwa;cm CMR;DF;Lorient;21;4038;210000
416;Samuel Moutoussamy;cd COD;MF;Nantes;25;4038;210000
417;Brandon Baiye;be BEL;MF;Clermont Foot;21;4038;210000
418;Noah Fadiga;sn SEN;DF;Brest;22;4038;210000
419;Melvin Bard;fr FRA;DF;Nice;21;3846;200000
420;Jessy Moulin;fr FRA;GK;Troyes;36;3846;200000
421;Alexis Flips;fr FRA;FWMF;Reims;22;3846;200000
422;Nicolas Penneteau;fr FRA;GK;Reims;41;3846;200000
423;Karol Fila;pl POL;DF;Strasbourg;24;3846;200000
424;Alberth Elis;hn HON;MFFW;Brest;26;3846;200000
425;Rares Ilie;;LW;Nice;19;3462;180000
426;Denis Genreau;au AUS;MF;Toulouse;23;3462;180000
427;Alexandre Coeff;fr FRA;DF;Auxerre;30;3462;180000
428;Ousmane Camara;fr FRA;DF;Angers;19;3462;180000
429;Théo Le Bris;fr FRA;MFDF;Lorient;19;3462;180000
430;Yoann Cathline;fr FRA;FWMF;Lorient;20;3462;180000
431;Yohann Magnin;fr FRA;MF;Clermont Foot;25;3462;180000
432;Antonin Bobichon;fr FRA;MF;Angers;26;3269;170000
433;Lucas Chevalier;fr FRA;GK;Lille;20;3269;170000
434;Jonathan Gradit;fr FRA;DF;Lens;29;3269;170000
435;Stijn Spierings;nl NED;MF;Toulouse;26;3077;160000
436;Arial Mendy;sn SEN;DF;Clermont Foot;27;3077;160000
437;Maxime Estève;fr FRA;DF;Montpellier;20;2885;150000
438;Thierno Balde;fr FRA;DFMF;Troyes;20;2885;150000
439;Kenji-Van Boto;mg MAD;DF;Auxerre;26;2885;150000
440;Waniss Taibi;fr FRA;MF;Angers;20;2885;150000
441;Alassane N'Diaye;fr FRA;RM;Ajaccio;31;2885;150000
442;Riad Nouri;fr FRA;MFFW;Ajaccio;37;2885;150000
443;Yoann Touzghar;tn TUN;FW;Ajaccio;35;2885;150000
444;Myziane Maolida;km COM;MFFW;Reims;23;2885;150000
